loss,root_mean_squared_error,val_loss,val_root_mean_squared_error,learning_rate
283249.09375,532.2114868164062,0.009474561549723148,0.09733735769987106,0.0005000000237487257
283171.40625,532.1385498046875,0.010292477905750275,0.10145185142755508,0.0005000000237487257
282870.40625,531.8556518554688,0.012296638451516628,0.1108902096748352,0.0005000000237487257
282868.4375,531.853759765625,0.005188712850213051,0.07203271985054016,0.0005000000237487257
282247.40625,531.2695922851562,0.24769680202007294,0.49769148230552673,0.0005000000237487257
282515.40625,531.5217895507812,12.732687950134277,3.568289279937744,0.0005000000237487257
281770.25,530.8203735351562,4.744396686553955,2.178163528442383,0.0005000000237487257
281193.6875,530.2769775390625,0.9021700620651245,0.9498263597488403,0.0005000000237487257
279663.75,528.8324584960938,1.7948716878890991,1.3397282361984253,0.0005000000237487257
281680.125,530.7354125976562,3.4865200519561768,1.867222547531128,0.0005000000237487257
279114.84375,528.313232421875,13.420639991760254,3.663419246673584,0.0005000000237487257
277547.96875,526.8281860351562,23.637046813964844,4.861794471740723,0.0005000000237487257
276263.0625,525.6072998046875,37.23642349243164,6.102165699005127,0.00035000001662410796
271423.46875,520.983154296875,26.00613784790039,5.099621295928955,0.00035000001662410796
273363.15625,522.8414306640625,19.067554473876953,4.366641044616699,0.00035000001662410796
269891.8125,519.5111083984375,240.1145782470703,15.495631217956543,0.00035000001662410796
274120.46875,523.5651245117188,44.17916488647461,6.646740913391113,0.00035000001662410796
274201.15625,523.6422119140625,80.01001739501953,8.944831848144531,0.00035000001662410796
267510.96875,517.214599609375,83.64557647705078,9.145795822143555,0.00035000001662410796
263926.25,513.737548828125,138.65492248535156,11.775182723999023,0.00035000001662410796
264349.90625,514.1497192382812,359.9188537597656,18.971527099609375,0.00024500000290572643
265923.625,515.6778564453125,499.3764953613281,22.34673309326172,0.00024500000290572643
258842.1875,508.7653503417969,378.8365173339844,19.463722229003906,0.00024500000290572643
261333.4375,511.20782470703125,518.6640014648438,22.77419662475586,0.00024500000290572643
