epoch,train_mse,val_mse
1,283290.95023345953,0.008059694498245205
2,283270.0586661733,0.009029472424160866
3,283281.53342752205,0.003976042421224217
4,283255.72409386013,0.0033366061702725432
5,283245.3884494364,0.005340631297301678
6,283281.72466940014,0.0023930271133957874
7,283271.9038369618,0.007738910683353121
8,283260.73371287144,0.007230645932611965
9,283235.5999562697,0.00685399200855976
10,283239.68142656144,0.08410267389955975
11,283275.03446405235,0.0010385394659048568
12,283223.0141919127,0.010499958747199603
13,283247.88226823637,0.0007678952374373607
14,283194.0869517866,0.08489935100078583
15,283273.78190263757,0.0029184165455046155
16,283237.6394012586,0.0008718411984210391
17,283237.74164231814,0.0011339601284513872
18,283178.08587874955,0.024681967372695606
19,283237.27641288866,0.0034956570182527813
20,283187.54267798737,0.0016990059770510665
21,283191.1961777713,0.0024958056760841004
22,283144.5097516989,0.002930585513933606
23,283173.1835018449,0.006927935650483484
24,283111.39786732127,0.005851235318308075
25,283162.5906725851,0.0015048045842420486
26,283041.0529309931,0.001783269682034318
27,283002.2755542019,0.0018255810161159995
28,282869.94350611436,0.0013335108953816373
29,282923.21569032455,0.002416782047865646
30,283017.9221613387,0.0019173043270018838
31,282543.70121434453,0.004232119480591445
32,282686.46812112874,0.0015208650424721696
33,282789.6153895826,0.0015298509291217972
