image_id,avg_vNDVI,avg_MGRVI,avg_VARI
baf2edc1-b9b2-4623-b008-acfa1039ef11.png,0.17384988,0.07392153,0.049699422
1f1b38ee-5d86-4a92-ad19-258e6cccb6af.png,0.19502544,0.072821915,0.05515766
bfde3dc3-47fe-40a2-9304-0b030567053a.png,0.1845754,-0.02161304,-0.013129284
91cf00ac-f25f-413b-b637-c88a96fe9cd6.png,0.17904027,0.04638916,0.032068428
29a5f0cc-d4ae-4567-9230-3a136f4ab016.png,0.1322542,0.09931934,0.069390014
a9f4879f-627d-4a3f-830b-c171c8d8828b.png,0.23236242,0.06627977,0.048795782
54691d6b-1358-4a8f-a095-11fccd83f33d.png,0.2978874,-0.12292711,-0.08474528
52efca35-5792-4951-80b8-93660fda89a0.png,0.22595052,0.09702958,0.076510474
b997bbf9-94d9-421e-bcbb-8f9b9327b03d.png,0.1013655,0.25104696,0.20297238
fbe7f6b4-1e75-43d1-b09c-e0f59c2a53bf.png,0.2146673,-0.04116377,-0.0280191
4b778dee-096c-4e7c-b996-86323acba8d3.png,0.28026265,-0.12489636,-0.08522097
a59681ac-0fad-43f1-8e55-2b8b09901ed4.png,0.17915246,0.17242934,0.12455673
1ce50ab8-aaf3-42cd-92fa-43334a43e8ac.png,0.15203768,0.13527252,0.09605103
27b7fb9e-8389-4991-bb7a-14797d62ea8e.png,0.17529914,0.14069782,0.09630064
b2f203c7-44d4-41c8-9519-f5982046c26c.png,0.03770612,0.2606194,0.21397251
90f3a6c5-dfd5-4229-9049-825f640a05e7.png,0.10819025,0.11839643,0.091091715
154eae9a-140a-4e50-8413-54b409c51066.png,0.10995079,0.3089943,0.22715266
85712639-edfa-4c21-8ae6-31562c957cb9.png,0.08038333,0.32040218,0.23474416
d1eacd06-31fc-41db-9f27-36dd99e1af72.png,0.13587554,0.074437246,0.053046297
bd745fb1-fcb9-43cc-bf8d-f4511c4ebdcd.png,0.17740978,0.15835486,0.11501481
0d3e9189-41b9-4cf0-bad4-9a54c7e9f4c0.png,0.09356419,0.31167608,0.26089498
eaec4291-6614-4a6a-bae1-edeac5400190.png,0.13153909,0.11194442,0.082347095
93313ec9-e7d3-4951-ae7d-436cf2f1e06d.png,0.20436989,0.104112886,0.0843834
9d6adba8-9384-49db-8855-721c3d466c34.png,0.15179786,0.1317637,0.101895936
d2fffd14-3b6c-4a32-91fd-ed9a4ec9e4d0.png,0.1648925,0.16260289,0.11766081
c338acf2-5bd0-4eba-bd53-cdc9f37b0e6b.png,0.22035097,0.11636996,0.09887988
b875fd3f-0ccc-4406-9c1b-5fbdf86a57bd.png,0.2101242,0.0018926262,0.003444998
22194cea-f9e0-4ad5-8579-cde8c2264828.png,0.25057185,-0.03962784,-0.027950669
328d3cc8-e61f-44c2-8b5f-1a5461a0f4ed.png,0.1670115,0.17556779,0.13209811
d1df2776-2a0c-476f-8c40-7a4a67ba6041.png,0.23615086,0.050972823,0.03820478
0ad00024-7a7d-4891-9557-53bcc9430273.png,0.22843863,0.018162854,0.014578103
7c3890cd-aadc-4d99-bbd3-0f65388fa8f6.png,0.1656742,0.2081423,0.17384468
4037bd81-c57d-4173-9565-ee741eb94790.png,0.1399208,0.21960138,0.15883979
eb5a8d71-b96d-436b-8af9-38d8572fbc83.png,0.23951894,-0.034294218,-0.02291653
c8038779-f2d7-4f92-8403-4383fd18e008.png,0.2576807,0.03693585,0.0304922
df482b8e-9aff-43ae-a909-3afc87c0c4b0.png,0.17764522,0.049304564,0.036466166
c9d06028-646c-4792-8047-cbc8e0b3f6e2.png,0.15232463,0.10482643,0.07550318
e11b813e-50cc-4bcc-b85b-5c5951cf3bbf.png,0.14488402,0.13532092,0.092072785
ee4a44c5-cd07-4edd-9075-f8e7481a043b.png,0.1879924,0.13604341,0.11395776
2057b86d-aae1-4db3-828a-fc1458b6ef2e.png,0.24111235,0.04486234,0.03312242
95c831c1-0ab4-422c-af6f-5ef9712c78e1.png,0.10502156,0.1508426,0.10314325
