epoch,train_loss,val_loss,train_r2,val_r2
1,83470.22746224196,0.01151981926523149,-1.1658847729365032,-2.3251696825027466
2,83461.40092304701,0.01006058300845325,-0.7791681289672852,-2.100913941860199
3,83462.32935079679,0.004450602806173265,-0.5743151505788168,-0.4259457190831502
4,83460.38809153647,0.004376338794827461,0.029139995574951172,0.0837634801864624
5,83457.13782926972,0.004139847413171083,0.274375319480896,-0.029425501823425293
6,83451.95919963512,0.00192627013893798,0.3213030497233073,0.6895836393038431
7,83456.47524166443,0.002361481310799718,0.439230481783549,0.5171556075414022
8,83456.78092291974,0.002258923719637096,0.3558769226074219,0.6702761252721151
9,83454.76108862447,0.0015846454771235585,0.43779659271240234,0.7203876177469889
10,83451.63654525796,0.0025213000481016934,0.4110351800918579,0.5783889691034952
11,83457.86894695215,0.002718394505791366,0.28220057487487793,0.6265027721722921
12,83450.3169263921,0.0008859498339006677,0.3476068377494812,0.845375120639801
13,83452.5919629714,0.0010463419603183866,0.40907128651936847,0.793157955010732
14,83450.16240906336,0.002044343505986035,0.46702734629313153,0.6371686855951945
15,83448.74437750045,0.004814637009985745,0.37403955062230426,-0.1093716025352478
16,83449.8064052492,0.0010447869426570833,0.35796231031417847,0.7742704749107361
17,83445.97672518648,0.009900429286062717,0.4052410324414571,-1.1276859442392986
18,83442.56445898495,0.0008549184276489541,0.4265901843706767,0.800391415754954
19,83450.27136675233,0.0013491085264831781,0.38378403584162396,0.75469442208608
20,83438.89528915672,0.00173577741952613,0.4327862660090129,0.652230441570282
21,445137.4670044019,0.002360355923883617,0.3987189133961995,0.45458298921585083
22,445093.78723679384,0.000841909582959488,0.5075730284055074,0.8044748107592264
23,83423.30784893026,0.0006677945639239624,0.2790065407752991,0.8496853709220886
24,83440.81412269214,0.00102085669641383,0.464068075021108,0.7590288122495016
25,83416.30601477258,0.0005626884521916509,0.3192010323206584,0.8920932610829672
26,83395.86805708917,0.005885626596864313,0.16869211196899414,-0.3825608491897583
27,83413.994807934,0.0013449003163259476,0.29558873176574707,0.6969082156817118
28,83424.21792975826,0.00524090975522995,0.34258540471394855,0.08174051841100057
29,83413.32346061581,0.0006445299077313393,0.35755083958307904,0.8691845337549845
30,83387.86916533054,0.00039622878830414265,0.24594982465108237,0.8958787322044373
31,83359.85020933302,0.0014207483036443591,0.16011548042297363,0.7041463057200114
32,83386.55660117048,0.001565053011290729,0.027856310208638508,0.7835357983907064
33,83297.04697294607,0.00121304823551327,-0.2802753845850627,0.7716448307037354
34,83299.13695934173,0.002584879519417882,-0.3361349900563558,0.5817269682884216
35,83295.11601082185,0.0041991001926362514,-0.05115962028503418,0.4607199430465698
36,83343.03844238243,0.0042109048226848245,0.20328877369562784,0.3348119258880615
37,83340.70710710714,0.0031102662323974073,0.3317928910255432,0.2834791342417399
38,83287.333667648,0.007087027421221137,0.06344495217005412,0.121155579884847
39,83189.09127961104,0.014928808435797691,-0.4313744306564331,-0.34612645705540973
40,83043.79623917044,0.001763619133271277,-2.2059727708498635,0.6905211607615153
41,82994.99217482361,0.0006783456774428487,-0.8686891396840414,0.8490709662437439
42,82937.17295891112,0.006023109890520573,-1.5253943006197612,-0.3199621836344401
43,83081.80453752191,0.002054411103017628,-0.3575433890024821,0.5964275995890299
44,83220.54702945505,0.000943190767429769,0.08750035365422566,0.8370141585667928
45,82900.60882096956,0.0004201987758278847,-0.8728930950164795,0.8860454758008321
46,83042.24278971649,0.0015184893418336287,-0.45029083887736004,0.582629124323527
47,82849.46795101013,0.030799094820395112,-2.525842865308126,-1.9244117935498555
48,82792.69002609854,0.015737863956019282,-2.945069511731466,-0.46799739201863605
49,83208.51981567944,0.0006724529957864434,0.06886531909306844,0.8188247481981913
50,443739.75131971965,0.0011144235322717577,0.15769648551940918,0.7304565707842509
